Payoff Type,T,R,P,S,,0 to 30 by 0.1,,,"IF(I2=0,1)","IF(AND(I2=0,B2=0),1)"
4T < 4R < 3T+P < 3R+S < 2T+2P < 2R+2S < T+3P < R+3S < 4P < 4S,0.6,0.5,0.1,0,,,0,0,1,FALSE
Results 3x5000,,,,,,,1,1,FALSE,FALSE
Results 122x123,,,,,,,2,2,FALSE,FALSE
4T < 4R < 3T+P < 3R+S < 2T+2P < 2R+2S < T+3P < 4P < R+3S < 4S,1.2,1.1,0.3,0,,,3,0,1,FALSE
Results 3x5000,,,,,,,4,1,FALSE,FALSE
Results 122x123,,,,,,,5,2,FALSE,FALSE
4T < 4R < 3T+P < 3R+S < 2T+2P < T+3P < 2R+2S < R+3S < 4P < 4S,0,0,0,0,,,6,0,1,1
Results 3x5000,,,,,,,7,1,FALSE,FALSE
Results 122x123,,,,,,,8,2,FALSE,FALSE
4T < 4R < 3T+P < 3R+S < 2T+2P < T+3P < 2R+2S < 4P < R+3S < 4S,1,0.9,0.3,0,,,9,0,1,FALSE
Results 3x5000,,,,,,,10,1,FALSE,FALSE
Results 122x123,,,,,,,11,2,FALSE,FALSE
4T < 4R < 3T+P < 3R+S < 2T+2P < T+3P < 4P < 2R+2S < R+3S < 4S,0,0,0,0,,,12,0,1,1
Results 3x5000,,,,,,,13,1,FALSE,FALSE
Results 122x123,,,,,,,14,2,FALSE,FALSE
4T < 4R < 3T+P < 2T+2P < 3R+S < 2R+2S < T+3P < R+3S < 4P < 4S,0,0,0,0,,,15,0,1,1
Results 3x5000,,,,,,,16,1,FALSE,FALSE
Results 122x123,,,,,,,17,2,FALSE,FALSE
4T < 4R < 3T+P < 2T+2P < 3R+S < 2R+2S < T+3P < 4P < R+3S < 4S,0,0,0,0,,,18,0,1,1
Results 3x5000,,,,,,,19,1,FALSE,FALSE
Results 122x123,,,,,,,20,2,FALSE,FALSE
4T < 4R < 3T+P < 2T+2P < 3R+S < T+3P < 2R+2S < R+3S < 4P < 4S,0,0,0,0,,,21,0,1,1
Results 3x5000,,,,,,,22,1,FALSE,FALSE
Results 122x123,,,,,,,23,2,FALSE,FALSE
4T < 4R < 3T+P < 2T+2P < 3R+S < T+3P < 2R+2S < 4P < R+3S < 4S,0.8,0.7,0.3,0,,,24,0,1,FALSE
Results 3x5000,,,,,,,25,1,FALSE,FALSE
Results 122x123,,,,,,,26,2,FALSE,FALSE
4T < 4R < 3T+P < 2T+2P < 3R+S < T+3P < 4P < 2R+2S < R+3S < 4S,1,0.9,0.5,0,,,27,0,1,FALSE
Results 3x5000,,,,,,,28,1,FALSE,FALSE
Results 122x123,,,,,,,29,2,FALSE,FALSE
4T < 4R < 3T+P < 2T+2P < T+3P < 3R+S < 2R+2S < R+3S < 4P < 4S,0,0,0,0,,,30,0,1,1
Results 3x5000,,,,,,,31,1,FALSE,FALSE
Results 122x123,,,,,,,32,2,FALSE,FALSE
4T < 4R < 3T+P < 2T+2P < T+3P < 3R+S < 2R+2S < 4P < R+3S < 4S,0,0,0,0,,,33,0,1,1
Results 3x5000,,,,,,,34,1,FALSE,FALSE
Results 122x123,,,,,,,35,2,FALSE,FALSE
4T < 4R < 3T+P < 2T+2P < T+3P < 3R+S < 4P < 2R+2S < R+3S < 4S,1.3,1.2,0.8,0,,,36,0,1,FALSE
Results 3x5000,,,,,,,37,1,FALSE,FALSE
Results 122x123,,,,,,,38,2,FALSE,FALSE
4T < 4R < 3T+P < 2T+2P < T+3P < 4P < 3R+S < 2R+2S < R+3S < 4S,1.8,1.7,1.3,0,,,39,0,1,FALSE
Results 3x5000,,,,,,,40,1,FALSE,FALSE
